id,council_ref,council_name,reference,description,address,postcode,status,app_type,date_received,date_validated,date_decided,lat,lng,portal_url,application_url,scraped_at
E60000071_TD4N46JBJXT00,E60000071,Leeds,"Determination for demolition of commercial parade 12, 14, 16, 18 and 22 Weston Lane Otley",,"12, 14, 16, 18 & 22 Weston Lane Otley LS21 2DD",LS21 2DD,,,,,,53.911342,-1.700519,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD4N46JBJXT00,2026-05-01T22:41:01.621526
E60000071_TD4O6XJB0C000,E60000071,Leeds,"Certificate of Proposed Lawful Development for an extension to the gable, dormer window to the rear ",,68 Blue Hill Crescent Wortley Leeds LS12 4PB,LS12 4PB,,,,,,53.789639,-1.601872,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD4O6XJB0C000,2026-05-01T22:41:00.601050
E60000071_TD4BYPJBJVT00,E60000071,Leeds,"Single storey link extension to side, single storey rear extension and conversion of hipped roof to ",,103 Green Lane Whitkirk Leeds LS15 7DY,LS15 7DY,,,,,,53.802849,-1.456881,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD4BYPJBJVT00,2026-05-01T22:40:59.593394
E60000071_TD41CFJBJTE00,E60000071,Leeds,Demolition of existing rear extension; construction of single-storey rear extension; removal of wind,,34 Alwoodley Lane Alwoodley Leeds LS17 7PX,LS17 7PX,,,,,,53.862024,-1.564604,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD41CFJBJTE00,2026-05-01T22:40:58.551411
E60000071_TD418OJBJT000,E60000071,Leeds,Certificate of Proposed Lawful Development for a porch to the front; single storey extension to the ,,2B Thornhill Grove Calverley Pudsey LS28 5PB,LS28 5PB,,,,,,53.829341,-1.688008,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD418OJBJT000,2026-05-01T22:40:57.423620
E60000071_TD418GJBJSY00,E60000071,Leeds,Certificate of Proposed Lawful Development for an extension to the gable and dormer window to the re,,10 The Grove Swillington Leeds LS26 8UX,LS26 8UX,,,,,,53.769168,-1.410601,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD418GJBJSY00,2026-05-01T22:40:52.931149
E60000071_TD4170JBJSW00,E60000071,Leeds,Certificate of Existing Lawful Development for use of land as domestic garden,,The Barn Bayton House Bayton Lane Horsforth Leeds LS18 5EY,LS18 5EY,,,,,,53.851893,-1.655446,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD4170JBJSW00,2026-05-01T22:40:51.895464
E60000071_TD415PJBJSU00,E60000071,Leeds,Certificate of Proposed Lawful Development for rooflights to the side and rear,,14 Lidgett Park Mews Lidgett Park Leeds LS8 1DB,LS8 1DB,,,,,,53.837983,-1.508809,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD415PJBJSU00,2026-05-01T22:40:50.867982
E60000071_TD4N2RJBJXR00,E60000071,Leeds,"Outline application (all matters reserved except for partial means of access to, but not within, the",,Woodside Quarry Clayton Wood Road West Park Leeds LS16,,,,,,,,,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD4N2RJBJXR00,2026-05-01T22:40:49.745408
E60000071_TD41CSJBJTG00,E60000071,Leeds,Weeping willow (T1) height to be reduced by 4 metres to previous cuts. This is to prevent sail and s,,16 Zoar Street Morley Leeds LS27 8JD,LS27 8JD,,,,,,53.747754,-1.599023,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD41CSJBJTG00,2026-05-01T22:40:49.744628
